"filename", "language", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\App.vue", "Vue", 0, 13, 0, 0, 0, 2, 15
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\index.ts", "TypeScript", 37, 0, 0, 0, 10, 4, 51
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\type.ts", "TypeScript", 66, 0, 0, 0, 2, 10, 78
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\index.ts", "TypeScript", 33, 0, 0, 0, 6, 7, 46
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\type.ts", "TypeScript", 73, 0, 0, 0, 3, 11, 87
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\index.ts", "TypeScript", 38, 0, 0, 0, 14, 7, 59
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\type.ts", "TypeScript", 33, 0, 0, 0, 1, 3, 37
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\index.ts", "TypeScript", 16, 0, 0, 0, 6, 3, 25
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\type.ts", "TypeScript", 21, 0, 0, 0, 5, 3, 29
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\copyright.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\exit-full.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\full-screen.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\home.svg", "XML", 0, 0, 0, 1, 0, 0, 1
