Date : 2024-03-12 14:31:10
Directory : d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src
Total : 59 files,  2865 codes, 191 comments, 246 blanks, all 3302 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         23 |      1,727 |         27 |        134 |      1,888 |
| TypeScript |         23 |        772 |        152 |         83 |      1,007 |
| XML        |         10 |        185 |          0 |          1 |        186 |
| SCSS       |          3 |        181 |         12 |         28 |        221 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         59 |      2,865 |        191 |        246 |      3,302 |
| . (Files)                                                                                       |          5 |         79 |         31 |         11 |        121 |
| api                                                                                             |          8 |        317 |         47 |         48 |        412 |
| api\product                                                                                     |          6 |        280 |         36 |         42 |        358 |
| api\product\attr                                                                                |          2 |        103 |         12 |         14 |        129 |
| api\product\spu                                                                                 |          2 |        106 |          9 |         18 |        133 |
| api\product\trademark                                                                           |          2 |         71 |         15 |         10 |         96 |
| api\user                                                                                        |          2 |         37 |         11 |          6 |         54 |
| assets                                                                                          |         10 |        185 |          0 |          1 |        186 |
| assets\icons                                                                                    |         10 |        185 |          0 |          1 |        186 |
| components                                                                                      |          3 |        152 |          9 |         14 |        175 |
| components (Files)                                                                              |          1 |         14 |          7 |          3 |         24 |
| components\Category                                                                             |          1 |        108 |          0 |          7 |        115 |
| components\Svgicon                                                                              |          1 |         30 |          2 |          4 |         36 |
| layout                                                                                          |          7 |        417 |         20 |         31 |        468 |
| layout (Files)                                                                                  |          1 |        105 |          6 |          9 |        120 |
| layout\logo                                                                                     |          1 |         23 |          0 |          2 |         25 |
| layout\main                                                                                     |          1 |         51 |          2 |          2 |         55 |
| layout\menu                                                                                     |          1 |         70 |          4 |          6 |         80 |
| layout\tabbar                                                                                   |          3 |        168 |          8 |         12 |        188 |
| layout\tabbar (Files)                                                                           |          1 |         49 |          1 |          2 |         52 |
| layout\tabbar\left_tabbar                                                                       |          1 |         35 |          5 |          5 |         45 |
| layout\tabbar\right_tabbar                                                                      |          1 |         84 |          2 |          5 |         91 |
| router                                                                                          |          2 |        171 |         12 |          5 |        188 |
| store                                                                                           |          5 |        134 |         35 |         11 |        180 |
| store (Files)                                                                                   |          1 |          5 |          3 |          1 |          9 |
| store\modules                                                                                   |          3 |        122 |         31 |          8 |        161 |
| store\types                                                                                     |          1 |          7 |          1 |          2 |         10 |
| styles                                                                                          |          3 |        181 |         12 |         28 |        221 |
| utils                                                                                           |          3 |         70 |         20 |          7 |         97 |
| views                                                                                           |         13 |      1,159 |          5 |         90 |      1,254 |
| views\404                                                                                       |          1 |          5 |          0 |          2 |          7 |
| views\ad                                                                                        |          3 |         26 |          0 |          7 |         33 |
