"filename", "language", "TypeScript", "Vue", "SCSS", "XML", "JSON", "comment", "blank", "total"
"e:\backWorkProject\backWork\src\App.vue", "Vue", 0, 13, 0, 0, 0, 0, 2, 15
"e:\backWorkProject\backWork\src\api\acl\menu\index.ts", "TypeScript", 19, 0, 0, 0, 0, 8, 3, 30
"e:\backWorkProject\backWork\src\api\acl\menu\type.ts", "TypeScript", 30, 0, 0, 0, 0, 4, 2, 36
"e:\backWorkProject\backWork\src\api\acl\role\index.ts", "TypeScript", 29, 0, 0, 0, 0, 13, 2, 44
"e:\backWorkProject\backWork\src\api\acl\role\type.ts", "TypeScript", 46, 0, 0, 0, 0, 5, 4, 55
"e:\backWorkProject\backWork\src\api\acl\user\index.ts", "TypeScript", 35, 0, 0, 0, 0, 16, 1, 52
"e:\backWorkProject\backWork\src\api\acl\user\type.ts", "TypeScript", 43, 0, 0, 0, 0, 8, 3, 54
"e:\backWorkProject\backWork\src\api\employee\index.ts", "TypeScript", 41, 0, 0, 0, 0, 9, 9, 59
"e:\backWorkProject\backWork\src\api\employee\type.ts", "TypeScript", 53, 0, 0, 0, 0, 21, 5, 79
"e:\backWorkProject\backWork\src\api\fcategory\index.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 8, 60
"e:\backWorkProject\backWork\src\api\fcategory\type.ts", "TypeScript", 20, 0, 0, 0, 0, 15, 4, 39
"e:\backWorkProject\backWork\src\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"e:\backWorkProject\backWork\src\api\orders\index.ts", "TypeScript", 68, 0, 0, 0, 0, 4, 8, 80
"e:\backWorkProject\backWork\src\api\orders\type.ts", "TypeScript", 78, 0, 0, 0, 0, 189, 5, 272
"e:\backWorkProject\backWork\src\api\product\attr\index.ts", "TypeScript", 37, 0, 0, 0, 0, 12, 4, 53
"e:\backWorkProject\backWork\src\api\product\attr\type.ts", "TypeScript", 66, 0, 0, 0, 0, 2, 10, 78
"e:\backWorkProject\backWork\src\api\product\sku\index.ts", "TypeScript", 30, 0, 0, 0, 0, 6, 6, 42
